2025-09-18 18:51:24,656 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 18:51:24,657 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 18:51:24,658 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 18:51:24,658 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:24,658 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 18:51:24,659 | trend-bot | INFO | 
2025-09-18 18:51:24,659 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 18:51:24,659 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 18:51:24,660 | trend-bot | ERROR | Failed to initialize client
2025-09-18 18:51:30,740 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:30,740 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 18:51:30,741 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:30,741 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 18:51:30,741 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 18:51:30,742 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 18:51:30,742 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 18:51:30,743 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:30,743 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 18:51:30,744 | trend-bot | INFO | 
2025-09-18 18:51:30,744 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 18:51:30,745 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 18:51:30,745 | trend-bot | ERROR | Failed to initialize client
2025-09-18 18:51:40,551 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:40,551 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 18:51:40,552 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:40,552 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 18:51:40,552 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 18:51:40,553 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 18:51:40,553 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 18:51:40,553 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:40,554 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 18:51:40,554 | trend-bot | INFO | 
2025-09-18 18:51:40,555 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 18:51:40,555 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 18:51:40,555 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:11:33,889 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:33,890 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:11:33,891 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:33,892 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:11:33,892 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:11:33,893 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:11:33,893 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:11:33,894 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:33,894 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:11:33,895 | trend-bot | INFO | 
2025-09-18 19:11:33,895 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:11:33,896 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:11:33,896 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:11:35,994 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:35,994 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:11:35,995 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:35,996 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:11:35,996 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:11:35,997 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:11:35,997 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:11:35,998 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:35,998 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:11:35,999 | trend-bot | INFO | 
2025-09-18 19:11:36,000 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:11:36,000 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:11:36,001 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:11:40,282 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:40,283 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:11:40,284 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:40,284 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:11:40,285 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:11:40,286 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:11:40,287 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:11:40,288 | trend-bot | INFO | ================================================================================
2025-09-18 19:11:40,289 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:11:40,290 | trend-bot | INFO | 
2025-09-18 19:11:40,291 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
